Segment,Customers,Avg_Recency,Avg_Frequency,Avg_Monetary,Total_Revenue
Loyal Customers,31143,195.6767491892239,1.0282567511158205,246.01549336929645,7661660.51
Champions,15229,115.57731958762886,1.141178015628078,412.13838203427673,6276455.42
Potential Loyalists,31936,274.33823897795594,1.002818136272545,154.62741451653307,4938181.11
At Risk,13527,362.61647076217935,1.0,69.37299549050049,938408.51
Lost Customers,1523,455.22061720288906,1.0,44.14938936309915,67239.52
