Model,Accuracy,Precision,Recall,F1,ROC_AUC,PR_AUC
Logistic Regression,0.5931123953296379,0.016213086276780544,0.5185185185185185,0.031443009545199324,0.5763803165248631,0.02976092938951573
XGBoost,0.8482132326925345,0.023443815683104285,0.26851851851851855,0.04312267657992565,0.5495593251835039,0.018788473917868535
Random Forest,0.9751149899752329,0.009523809523809525,0.009259259259259259,0.009389671361502348,0.5416572647190256,0.0162402573718828
