Threshold,Precision,Recall,F1
0.05,0.01296969696969697,0.9907407407407407,0.025604211533859774
0.1,0.012998160637645617,0.9814814814814815,0.02565654120779378
0.15000000000000002,0.012980529206190713,0.9629629629629629,0.02561576354679803
0.2,0.012792906903103229,0.9351851851851852,0.025240534799450206
0.25,0.012694300518134714,0.9074074074074074,0.025038323965252938
0.3,0.01301140174379611,0.8981481481481481,0.02565119661509983
0.35000000000000003,0.013358230393565068,0.8611111111111112,0.02630834512022631
0.4,0.01370086445930517,0.7777777777777778,0.02692739221029011
0.45,0.014669926650366748,0.6666666666666666,0.028708133971291867
0.5,0.016213086276780544,0.5185185185185185,0.031443009545199324
0.55,0.018916155419222903,0.3425925925925926,0.035852713178294575
0.6000000000000001,0.024858757062146894,0.2037037037037037,0.044310171198388724
0.6500000000000001,0.03619909502262444,0.14814814814814814,0.05818181818181818
0.7000000000000001,0.039525691699604744,0.09259259259259259,0.055401662049861494
0.7500000000000001,0.049689440993788817,0.07407407407407407,0.05947955390334572
0.8,0.04950495049504951,0.046296296296296294,0.04784688995215311
0.8500000000000001,0.017857142857142856,0.009259259259259259,0.012195121951219513
0.9000000000000001,0.041666666666666664,0.009259259259259259,0.015151515151515152
